Training epoch: 01, MSE: 32161.8316
Training epoch: 02, MSE: 29125.0945
Training epoch: 03, MSE: 29247.8675
Training epoch: 04, MSE: 28166.3558
Training epoch: 05, MSE: 23749.3079
Training epoch: 06, MSE: 21177.8123
Training epoch: 06, MSE: 22157.1621
Training epoch: 07, MSE: 20759.8317
Training epoch: 08, MSE: 20237.4280
Training epoch: 09, MSE: 18664.8360
Training epoch: 10, MSE: 17781.9538
Training epoch: 11, MSE: 18890.9373
Training epoch: 12, MSE: 17581.5911
Training epoch: 13, MSE: 18557.1883
Training epoch: 14, MSE: 14249.1209
Training epoch: 15, MSE: 12659.8141
Training epoch: 16, MSE: 13299.1814
Training epoch: 17, MSE: 11922.3371
Training epoch: 18, MSE: 12194.4153
Training epoch: 19, MSE: 10888.2332
Training epoch: 20, MSE: 11029.7109
Training epoch: 21, MSE: 10857.3604
Training epoch: 22, MSE: 9520.9490
Training epoch: 23, MSE: 10044.0787
Training epoch: 24, MSE: 12769.0178
Training epoch: 25, MSE: 10234.7586
Training epoch: 26, MSE: 7849.1918
Training epoch: 27, MSE: 7432.6080
Training epoch: 28, MSE: 7394.0035
Training epoch: 29, MSE: 7197.0807
Training epoch: 30, MSE: 7626.7111
Training epoch: 31, MSE: 6340.1021
Training epoch: 32, MSE: 5932.8380
Training epoch: 33, MSE: 6295.4008
Training epoch: 34, MSE: 6477.3340
Training epoch: 35, MSE: 6429.5535
Training epoch: 36, MSE: 5817.1707
Training epoch: 37, MSE: 5560.5217
Training epoch: 38, MSE: 5616.9292
Training epoch: 39, MSE: 5329.6816
Training epoch: 40, MSE: 5193.3715
Training epoch: 41, MSE: 5204.7127
Training epoch: 42, MSE: 5218.8999
Training epoch: 43, MSE: 5035.6472
Training epoch: 44, MSE: 4960.1987
Training epoch: 45, MSE: 4838.6942
Training epoch: 46, MSE: 5004.2181
Training epoch: 47, MSE: 4888.9724
Training epoch: 48, MSE: 5052.1311
Training epoch: 49, MSE: 4963.3816
Training epoch: 50, MSE: 4868.0607
Training epoch: 51, MSE: 4787.4725
Training epoch: 52, MSE: 4792.0733
Training epoch: 53, MSE: 4718.2236
Training epoch: 54, MSE: 4707.1362
Training epoch: 55, MSE: 4718.3218
Training epoch: 56, MSE: 4707.0821
Training epoch: 57, MSE: 4746.1049
Training epoch: 58, MSE: 4723.5285
Training epoch: 59, MSE: 4684.3383
Training epoch: 60, MSE: 4712.5093
Training epoch: 61, MSE: 4709.0578
Training epoch: 62, MSE: 4717.8642
Training epoch: 63, MSE: 4693.6457
Training epoch: 64, MSE: 4717.6695
Training epoch: 65, MSE: 4698.4696
